state,rate,
Alabama,25.7,
Alaska,40.1,
Arizona,27.3,
Arkansas,10.9,
California,19.7,
Colorado,21.6,
Connecticut,31.9,
Delaware,47,
District of Columbia,49.6,
Florida,23.3,
Georgia,17.5,
Hawaii,9.4,
Idaho,14.4,
Illinois,22.5,
Indiana,26.4,
Iowa,8.4,
Kansas,14.9,
Kentucky,38.1,
Louisiana,26,
Maine,39.3,
Maryland,34.1,
Massachusetts,30,
Michigan,23.4,
Minnesota,18.1,
Mississippi,18.1,
Missouri,25,
Montana,12,
Nebraska,4.3,
Nevada,26.5,
New Hampshire,30.2,
New Jersey,25,
New Mexico,35.9,
New York,26.2,
North Carolina,28.4,1
North Dakota,11.7,
Ohio,34,
Oklahoma,21.7,
Oregon,32.1,
Pennsylvania,28.4,
Rhode Island,32.2,
South Carolina,33.4,
South Dakota,5.7,
Tennessee,42.9,
Texas,10.5,
Utah,15.4,
Vermont,38.2,
Virginia,24.1,
Washington,35,
West Virginia,71.6,
Wisconsin,25.1,
Wyoming,15,
